bibtex,Authors,Title,Venue,Year,Abbr venue,Abstract,Paper Summary,Definitions of reproducibility or replicability etc?,"Notes, e.g. findings, important points, etc. not made in abstract",Reproducible / Replicable according to authors? ,Links,Type of paper (Short / Long),
"@article{crane-2018-questionable,
    title = ""Questionable Answers in Question Answering Research: Reproducibility and Variability of Published Results"",
    author = ""Crane, Matt"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""6"",
    year = ""2018"",
    url = ""https://www.aclweb.org/anthology/Q18-1018"",
    doi = ""10.1162/tacl_a_00018"",
    pages = ""241--252"",
   abstract = ""Based on theoretical reasoning it has been suggested that the reliability of findings published in the scientific literature decreases with the popularity of a research field” (Pfeiffer and Hoffmann, 2009). As we know, deep learning is very popular and the ability to reproduce results is an important part of science. There is growing concern within the deep learning community about the reproducibility of results that are presented. In this paper we present a number of controllable, yet unreported, effects that can substantially change the effectiveness of a sample model, and thusly the reproducibility of those results. Through these environmental effects we show that the commonly held belief that distribution of source code is all that is needed for reproducibility is not enough. Source code without a reproducible environment does not mean anything at all. In addition the range of results produced from these effects can be larger than the majority of incremental improvement reported.""
}
","Crane, Matt",Questionable Answers in Question Answering Research: Reproducibility and Variability of Published Results,Transactions of the Association for Computational Linguistics,2018,TACL,"Based on theoretical reasoning it has been suggested that the reliability of findings published in the scientific literature decreases with the popularity of a research field” (Pfeiffer and Hoffmann, 2009). As we know, deep learning is very popular and the ability to reproduce results is an important part of science. There is growing concern within the deep learning community about the reproducibility of results that are presented. In this paper we present a number of controllable, yet unreported, effects that can substantially change the effectiveness of a sample model, and thusly the reproducibility of those results. Through these environmental effects we show that the commonly held belief that distribution of source code is all that is needed for reproducibility is not enough. Source code without a reproducible environment does not mean anything at all. In addition the range of results produced from these effects can be larger than the majority of incremental improvement reported.","1. one sentence summary of what paper is about
Using answer selection in QA (TrecQA and WikiQA dataset) as the underlying task, this paper demonstrates number of factors (hardware / software / environment) that affects results of Deep Learning models. 
2. paper's central goal/question/hypothesis
Distribution of source code is not enough for reproducibility unless the running environment is reported
3. methodology
Used PyTorch re-implementation Sequiera et al. (2017) of Severyn and Moschitti (2015) model and varied different configurations of hardware and software on both the datasets like the GPU configuration, seed, number of threads, framework used, etc. 
4. reported results
Average Precision (AP) and Reciprocal Rank (RR) are reported for differnet runs of the same model in different configurations of the environment
5. paper's conclusions and/or main contributions
Largest source of variability - when the network was seeded with different random starting points.
changing the hardware, number of threads and the math library can also change the results
model definition, library versions and dependencies should be specified either through Docker or provide pre-trained model
","* Mentions issues in IR of weak baselines (Armstrong et al., 2009) and reproducibility (Arguello et al., 2016; Lin et al., 2016)","Nice references such as : 
* need for replicable and reproducible results being included in a list of challenges for the ACL Challenges for ACL: ACL Presidential Address 2017.https://www.slideshare.net/aclanthology/ joakim-nivre-2017-presidential- address-acl-2017-challenges-for- acl/ 
*Based on theoretical reasoning it has been suggested that the reliability of findings published in the scientific literature decreases with the popularity of a research field” (Pfeiffer and Hoffmann, 2009).  -- can use this in journal paper
* Simon (2017) observed a 16% increase of test accuracy for the same model (from 0.5438 to 0.6197) by changing the computation backend from Tensorflow to MXNet.",,,,
"@inproceedings{branco-2018-depleting,
    title = ""We Are Depleting Our Research Subject as We Are Investigating It: In Language Technology, more Replication and Diversity Are Needed"",
    author = ""Branco, Ant{\'o}nio"",
    booktitle = ""Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018)"",
    month = may,
    year = ""2018"",
    address = ""Miyazaki, Japan"",
    publisher = ""European Language Resources Association (ELRA)"",
    url = ""https://www.aclweb.org/anthology/L18-1022"",
    abstract = ""In this paper, we present an analysis indicating that, in language technology, as we are investigating natural language we are contributing to deplete it in the sense that we are contributing to reduce the diversity of languages.  To address this circumstance, we propose that more replication and reproduction and more language diversity need to be taken into account in our research activities.""
}
","Branco, Ant{\'o}nio","We Are Depleting Our Research Subject as We Are Investigating It: In Language Technology, more Replication and Diversity Are Needed",Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),2018,LREC,"In this paper, we present an analysis indicating that, in language technology, as we are investigating natural language we are contributing to deplete it in the sense that we are contributing to reduce the diversity of languages.  To address this circumstance, we propose that more replication and reproduction and more language diversity need to be taken into account in our research activities.","1. one sentence summary of what paper is about
Position paper/opinion piece which argues that the NLP community should focus on language diveristy as part of science ethics. On a similar note, the paper also advocates reproducibility and replicability of research results.  
2. paper's central goal/question/hypothesis
To provide analysis of the depleting role of different languages in the NLP community
3. methodology
Not a replication study but an opinion piece. Provides analysis and literature review backing the claims of depleting diversity from the technological viewpoint. 
4. reported results
No results are reported
5. paper's conclusions and/or main contributions
Provides analysis and claims depleting language diversity is two fold - 1. NLP researchers only focus on English 2. Historical technological shock providing social and economical competitive advantages to the English language
","Following the text introducing a new Special Section of the Language Re- sources and Evaluation journal on reproducibility and repli- cability (Branco et al., 2017): “Reproduction of results en- tails arriving at the same overall conclusion(s), as opposed to finding identical values for some measure (Drummond, 2009), (Dalle, 2012), (Buchert and Nussbaum, 2011); that is, to appropriately validate a set of results, scientists should strive to reproduce the same answer to a given research question by different means, possibly by re-implementing an algorithm or evaluating it on a new dataset. Replication has a somewhat more limited aim, typically involving run- ning the exact same system under the same conditions in order to arrive at the same output result.”",marginal,NA,,Short,
"@inproceedings{cohen-etal-2018-three,
    title = ""Three Dimensions of Reproducibility in Natural Language Processing"",
    author = ""Cohen, K. Bretonnel  and
      Xia, Jingbo  and
      Zweigenbaum, Pierre  and
      Callahan, Tiffany  and
      Hargraves, Orin  and
      Goss, Foster  and
      Ide, Nancy  and
      N{\'e}v{\'e}ol, Aur{\'e}lie  and
      Grouin, Cyril  and
      Hunter, Lawrence E."",
    booktitle = ""Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018)"",
    month = may,
    year = ""2018"",
    address = ""Miyazaki, Japan"",
    publisher = ""European Language Resources Association (ELRA)"",
    url = ""https://www.aclweb.org/anthology/L18-1025"",
   abstract = ""Despite  considerable  recent  attention  to  problems  with  reproducibility  of  scientific  research,  there  is  a  striking  lack  of  agreement about the definition of the term.  That is a problem, because the lack of a consensus definition makes it difficult to compare studies of reproducibility, and thus to have even a broad overview of the state of the issue in natural language processing.  This paper proposes anontology of reproducibility in that field. Its goal is to enhance both future research and communication about the topic, and retrospective meta-analyses. We show that three dimensions of reproducibility, corresponding to three kinds of claims in natural language processing papers, can account for a variety of types of research reports. These dimensions are reproducibility of aconclusion, of a finding, and ofavalue. Three biomedical natural language processing papers by the authors of this paper are analyzed with respect to these dimensions.""
}
","Cohen, K. Bretonnel  and
      Xia, Jingbo  and
      Zweigenbaum, Pierre  and
      Callahan, Tiffany  and
      Hargraves, Orin  and
      Goss, Foster  and
      Ide, Nancy  and
      N{\'e}v{\'e}ol, Aur{\'e}lie  and
      Grouin, Cyril  and
      Hunter, Lawrence E.",Three Dimensions of Reproducibility in Natural Language Processing,Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),2018,LREC,"Despite  considerable  recent  attention  to  problems  with  reproducibility  of  scientific  research,  there  is  a  striking  lack  of  agreement about the definition of the term.  That is a problem, because the lack of a consensus definition makes it difficult to compare studies of reproducibility, and thus to have even a broad overview of the state of the issue in natural language processing.  This paper proposes anontology of reproducibility in that field. Its goal is to enhance both future research and communication about the topic, and retrospective meta-analyses. We show that three dimensions of reproducibility, corresponding to three kinds of claims in natural language processing papers, can account for a variety of types of research reports. These dimensions are reproducibility of aconclusion, of a finding, and ofavalue. Three biomedical natural language processing papers by the authors of this paper are analyzed with respect to these dimensions.","1. one sentence summary of what paper is about
[text]
2. paper's central goal/question/hypothesis
[text]
3. methodology
[text]
4. reported results
[text]
5. paper's conclusions and/or main contributions
[text]
",,,,,,
"@inproceedings{gartner-etal-2018-preserving,
    title = ""Preserving Workflow Reproducibility: The {R}e{P}lay-{DH} Client as a Tool for Process Documentation"",
    author = {G{\""a}rtner, Markus  and
      Hahn, Uli  and
      Hermann, Sibylle},
    booktitle = ""Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018)"",
    month = may,
    year = ""2018"",
    address = ""Miyazaki, Japan"",
    publisher = ""European Language Resources Association (ELRA)"",
    url = ""https://www.aclweb.org/anthology/L18-1089"",
   abstract = ""In  this  paper  we  present  a  software  tool  for  elicitation  and  management  of  process  metadata.   It  follows  our  previously  published design idea of an assistant for researchers that aims at minimizing the additional effort required for producing a sustainable workflow documentation.   With  the  ever-growing  number  of  linguistic  resources  available,  it  also  becomes  increasingly  important  to  provide proper  documentation  to  make  them  comparable  and  to  allow  meaningful  evaluations  for  specific  use  cases.   The  often  prevailing practice  of  post  hoc  documentation  of  resource  generation  or  research  processes  bears  the  risk  of  information  loss.   Not  only  does detailed documentation of a process aid in achieving reproducibility, it also increases usefulness of the documented work for others asa cornerstone of good scientific practice.  Time pressure together with the lack of simple documentation methods leads to workflow documentation in practice being an arduous and often neglected task. Our tool ensures a clean documentation for common workflows innatural language processing and digital humanities. Additionally, it can easily be integrated into existing institutional infrastructures."",
}
","G{\""a}rtner, Markus  and
      Hahn, Uli  and
      Hermann, Sibylle",Preserving Workflow Reproducibility: The {R}e{P}lay-{DH} Client as a Tool for Process Documentation,Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),2018,LREC,"In  this  paper  we  present  a  software  tool  for  elicitation  and  management  of  process  metadata.   It  follows  our  previously  published design idea of an assistant for researchers that aims at minimizing the additional effort required for producing a sustainable workflow documentation.   With  the  ever-growing  number  of  linguistic  resources  available,  it  also  becomes  increasingly  important  to  provide proper  documentation  to  make  them  comparable  and  to  allow  meaningful  evaluations  for  specific  use  cases.   The  often  prevailing practice  of  post  hoc  documentation  of  resource  generation  or  research  processes  bears  the  risk  of  information  loss.   Not  only  does detailed documentation of a process aid in achieving reproducibility, it also increases usefulness of the documented work for others asa cornerstone of good scientific practice.  Time pressure together with the lack of simple documentation methods leads to workflow documentation in practice being an arduous and often neglected task. Our tool ensures a clean documentation for common workflows innatural language processing and digital humanities. Additionally, it can easily be integrated into existing institutional infrastructures.","1. one sentence summary of what paper is about
Demo paper describing the system build for workflow management.
2. paper's central goal/question/hypothesis
Build a workflow management tool; supporting process documentation by using version control as foundation
3. methodology
Implemented the tool in Java, open-sourced for reproducible research.
4. reported results
NA
5. paper's conclusions and/or main contributions
""RePlay-DH"" system description, motivating its use case from the point of reporoducibility
",Claerbout and Karrenbach (1992) ,marginal relevance,,,,
"@inproceedings{horsmann-zesch-2018-deeptc,
    title = ""{D}eep{TC} {--} An Extension of {DKP}ro Text Classification for Fostering Reproducibility of Deep Learning Experiments"",
    author = ""Horsmann, Tobias  and
      Zesch, Torsten"",
    booktitle = ""Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018)"",
    month = may,
    year = ""2018"",
    address = ""Miyazaki, Japan"",
    publisher = ""European Language Resources Association (ELRA)"",
    url = ""https://www.aclweb.org/anthology/L18-1403"",
    abstract = ""We present a deep learning extension for the multi-purpose text classification framework DKPro Text Classification (DKPro TC). DKProTC is a flexible framework for creating easily shareable and reproducible end-to-end NLP experiments involving machine learning. We provide an overview of the current state of DKPro TC, which does not allow integration of deep learning, and discuss the necessary conceptual extensions.  These extensions are based on an analysis of common deep learning setups found in the literature to support all common text classification setups, i.e. single outcome, multi outcome, and sequence classification problems.  Additionally to providing an end-to-end shareable environment for deep learning experiments, we provide convenience features that take care of repetitive steps, such as pre-processing, data vectorization and pruning of embeddings.  By moving a large part of this boilerplate code into DKPro TC, the actual deep learning framework code improves in readability and lowers the amount of redundant source code considerably.  As proof-of-concept, we integrate Keras, DyNet, and DeepLearning4J."",
}
","Horsmann, Tobias  and
      Zesch, Torsten",{D}eep{TC} {--} An Extension of {DKP}ro Text Classification for Fostering Reproducibility of Deep Learning Experiments,Proceedings of the Eleventh International Conference on Language Resources and Evaluation ({LREC} 2018),2018,LREC,"We present a deep learning extension for the multi-purpose text classification framework DKPro Text Classification (DKPro TC). DKProTC is a flexible framework for creating easily shareable and reproducible end-to-end NLP experiments involving machine learning. We provide an overview of the current state of DKPro TC, which does not allow integration of deep learning, and discuss the necessary conceptual extensions.  These extensions are based on an analysis of common deep learning setups found in the literature to support all common text classification setups, i.e. single outcome, multi outcome, and sequence classification problems.  Additionally to providing an end-to-end shareable environment for deep learning experiments, we provide convenience features that take care of repetitive steps, such as pre-processing, data vectorization and pruning of embeddings.  By moving a large part of this boilerplate code into DKPro TC, the actual deep learning framework code improves in readability and lowers the amount of redundant source code considerably.  As proof-of-concept, we integrate Keras, DyNet, and DeepLearning4J.","1. one sentence summary of what paper is about
Demo paper describing DeepTC an extension of previous DKProTC framework for creating sharable and reproducible text classification models.
2. paper's central goal/question/hypothesis
Provide overview of the DL extension and integrate three libraries (Keras, DyNet and Deeplearning 4J) 
3. methodology
Implemented plain LSTM in three frameworks (Keras, DyNet and Deeplearning 4J) and experiment on WSJ for PoS tagging. Compared with shallow CRF from DKProTC
4. reported results
Accuracy on WSJ sections using reproduction is reported. However the original results claimed by the different frameworks is not provided. 
5. paper's conclusions and/or main contributions
Open-source system with DL extension. Showed that replication study allows to replicate state-of-the-art result but didnt compare with the original. 
",None,"* frequent challenges to re- production of deep learning experiment incomplete data preparation steps, embedding preparations tasks, and the vectorization of data into an integer representation.
* Didnt compare the reproduced results with original. However makes the following important points regarding DL 
The rapid development of deep learning software creates practical limitations to reproducibility and convenience
Many deep learning frameworks are still under rapid development and, thus, change quickly with bugs being fixed and APIs being updated.",,,,
"@article{wieling-etal-2018-squib,
    title = ""{S}quib: Reproducibility in Computational Linguistics: Are We Willing to Share?"",
    author = ""Wieling, Martijn  and
      Rawee, Josine  and
      van Noord, Gertjan"",
    journal = ""Computational Linguistics"",
    volume = ""44"",
    number = ""4"",
    month = dec,
    year = ""2018"",
    url = ""https://www.aclweb.org/anthology/J18-4003"",
    doi = ""10.1162/coli_a_00330"",
    pages = ""641--649"",
}
","Wieling, Martijn  and
      Rawee, Josine  and
      van Noord, Gertjan",{S}quib: Reproducibility in Computational Linguistics: Are We Willing to Share?,Computational Linguistics,2018,CL,"This study focuses on an essential precondition for reproducibility in computational linguistics: the willingness of authors to share relevant source code and data. Ten years after Ted Pedersen’s influential “Last Words” contribution in Computational Linguistics, we investigate to what extent researchers in computational linguistics are willing and able to share their data and code. We surveyed all 395 full papers presented at the 2011 and 2016 ACL Annual Meetings, and identified whether links to data and code were provided. If working links were not provided, authors were requested to provide this information. Although data were often available, code was shared less often. When working links to code or data were not provided in the paper, authors provided the code in about one third of cases. For a selection of ten papers, we attempted to reproduce the results using the provided data and code. We were able to reproduce the results approximately for six papers. For only a single paper did we obtain the exact same results. Our findings show that even though the situation appears to have improved comparing 2016 to 2011, empiricism in computational linguistics still largely remains a matter of faith. Nevertheless, we are somewhat optimistic about the future. Ensuring reproducibility is not only important for the field as a whole, but also seems worthwhile for individual researchers: The median citation count for studies with working links to the source code is higher.","1. one sentence summary of what paper is about
Looks at availability of code and data in NLP papers, and reproducibility of results based on them.
2. paper's central goal/question/hypothesis
Investigates how often data and source code are available or can be obtained for two years of ACL papers, and attempts reproduction for 10 papers for which data/code were available/obtainable. Tests whether papers with linked code/data is cited more.
3. methodology
Random selection (except 1 from 2016) of 5 papers each from sets of all full papers using some code and some data from ACL 2011 and 2016, for which said code and data could be obtained. Authors contacted for help if needed. Max 8 hours work by Masters student for each attempt.
4. reported results
Results provided for each of the 10 papers selected for reproduction. Unclear how scores were selected for reproduction (not all are attempted), reasons for failure not always clear even from linked material.  
5. paper's conclusions and/or main contributions
Obtainability of code and data substantially improved from 2011 to 2016, more dramatically for code. Higher citation counts for papers with linked data and code.
","``In line with Liberman (2015) and Barba (2018), we reject the unfortunate swap in the meaning of reproduction and replication by Drummond (2009). Consequently, with reproduction (or reproducibility), we denote the exact re-creation of the results reported in a publication using the same data and methods.'' ","* the methodology used is not very rigorous, e.g. MSc student doing the reproduction, random 8h cut-off, unexplained selection of scorres for reproduction
* other papers e.g. Mieskes et al. (2019) over-interpret this study e.g. claiming only a single reproduction obtained the same results and 60% of attempts failed. ",,,,
"@inproceedings{htut-etal-2018-grammar-induction,
    title = ""Grammar Induction with Neural Language Models: An Unusual Replication"",
    author = ""Htut, Phu Mon  and
      Cho, Kyunghyun  and
      Bowman, Samuel"",
    booktitle = ""Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing"",
    month = oct # ""-"" # nov,
    year = ""2018"",
    address = ""Brussels, Belgium"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/D18-1544"",
    doi = ""10.18653/v1/D18-1544"",
    pages = ""4998--5003"",
}
","Htut, Phu Mon  and
      Cho, Kyunghyun  and
      Bowman, Samuel",Grammar Induction with Neural Language Models: An Unusual Replication,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing,2018,EMNLP,"A substantial thread of recent work on latent
tree learning has attempted to develop neural
network models with parse-valued latent variables and train them on non-parsing tasks, in
the hope of having them discover interpretable
tree structure. In a recent paper, Shen et al.
(2018) introduce such a model and report nearstate-of-the-art results on the target task of language modeling, and the first strong latent tree
learning result on constituency parsing. In an
attempt to reproduce these results, we discover
issues that make the original results hard to
trust, including tuning and even training on
what is effectively the test set. Here, we attempt to reproduce these results in a fair experiment and to extend them to two new datasets.
We find that the results of this work are robust:
All variants of the model under study outperform all latent tree learning baselines, and perform competitively with symbolic grammar
induction systems. We find that this model
represents the first empirical success for latent tree learning, and that neural network language modeling warrants further study as a
setting for grammar induction.","
1. one sentence summary of what paper is about
Replicate the PRPN model (Shen et al., 2018) learns and under what conditions for language modeling and grammar induction
2. paper's central goal/question/hypothesis
Is the PRPN model (Shen et al., 2018) robust? 
3. methodology
Used author's available code; did not re-implement or re-tune PRPN. However, they do not report reults of the replication, if they were exactly reproducible or not.  
4. reported results
Parsing F1 results evaluated on full WSJ10 and WSJ while perplexity on the WSJ test set for language modeling. Did not compare with the Shen et al. 
5. paper's conclusions and/or main contributions
Find several experimental design problems that make the results difficult to interpret; however the model is found to be robust
",No,"AB: is this the same paper as htut-etal-2018-grammar ? urls are different, but title and authors are the same. 
SA: that paper seems like an abstract while this is a short paper

** doesnt seem like a replication study",,https://www.aclweb.org/anthology/D18-1544,,
"@inproceedings{moore-rayson-2018-bringing,
    title = ""Bringing replication and reproduction together with generalisability in {NLP}: Three reproduction studies for Target Dependent Sentiment Analysis"",
    author = ""Moore, Andrew  and
      Rayson, Paul"",
    booktitle = ""Proceedings of the 27th International Conference on Computational Linguistics"",
    month = aug,
    year = ""2018"",
    address = ""Santa Fe, New Mexico, USA"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/C18-1097"",
    pages = ""1132--1144"",
}
","Moore, Andrew  and
      Rayson, Paul",Bringing replication and reproduction together with generalisability in {NLP}: Three reproduction studies for Target Dependent Sentiment Analysis,Proceedings of the 27th International Conference on Computational Linguistics,2018,COLING,"Lack of repeatability and generalisability are two significant threats to continuing scientific development in Natural Language Processing. Language models and learning methods are so complex that scientific conference papers no longer contain enough space for the technical depth required
for replication or reproduction. Taking Target Dependent Sentiment Analysis as a case study, we
show how recent work in the field has not consistently released code, or described settings for
learning methods in enough detail, and lacks comparability and generalisability in train, test or
validation data. To investigate generalisability and to enable state of the art comparative evaluations, we carry out the first reproduction studies of three groups of complementary methods and
perform the first large-scale mass evaluation on six different English datasets. Reflecting on our
experiences, we recommend that future replication or reproduction experiments should always
consider a variety of datasets alongside documenting and releasing their methods and published
code in order to minimise the barriers to both repeatability and generalisability. We have released our code with a model zoo on GitHub with Jupyter Notebooks to aid understanding and full documentation, and we recommend that others do the same with their papers at submission time through an anonymised GitHub account.","1. one sentence summary of what paper is about
Investigated generalisability of the SOTA models from 3 papers for Target Dependent Sentiment Analysis and provided a mass evaluation study on 6 other english datasets
2. paper's central goal/question/hypothesis
Reproduced results of Vo and Zhang (2015),  Wang et al. (2017) and Tang et al. (2016a) on Dong et al. Twitter dataset
3. methodology
4 models from Vo and Zhang, 3 from Wang et al and Tang et al. respectively were reproduced. They were extended for mass evaluation on 6 other datasets for which different splits have been created and further open sourced for reproduciblity 
4. reported results
Accuracy is compared for the reproduced results with Vo and Zhang and Wang et al. respectively while macro F1 score is compared for Tang et al. 
5. paper's conclusions and/or main contributions
Able to reproduce results of three papers. Provided mass evaluation of the approaches on six different English datasets
","Followed definitions in Antske Fokkens’ guest blog post replication (obtaining the same results using the same
experiment) as well as reproduction (reach the same conclusion through different means).  http://coling2018. org/slowly-growing-offspring-zigglebottom-anno-2017-guest-post/","SemEval 2016 task 5 (Pontiki et al., 2016) only 1 out of 21 papers released their source code.  Louridas and Gousios (2012) provided requirements in Software Engineering for reproducibility - (a) All data related to the paper, (b) All code required to reproduce the paper and (c) Documentation for the code and data. Fokkens et al. (2013) in WordNet similarity and Named Entity Recognition provided 5 key aspects (a) pre-processing, (b) experimental setup, (c) versioning, (d) system output, (e) system variation.   Makes a point about incomplete descriptions of methods and settings, patchy release of code, and lack of comparative evaluations in previous research",Yes,,,
"@inproceedings{pierrejean-tanguy-2018-etude,
    title = ""Etude de la reproductibilit{\'e} des word embeddings : rep{\'e}rage des zones stables et instables dans le lexique (Reproducibility of word embeddings : identifying stable and unstable zones in the semantic space)"",
    author = ""Pierrejean, B{\'e}n{\'e}dicte  and
      Tanguy, Ludovic"",
    booktitle = ""Actes de la Conf{\'e}rence TALN. Volume 1 - Articles longs, articles courts de TALN"",
    month = ""5"",
    year = ""2018"",
    address = ""Rennes, France"",
    publisher = ""ATALA"",
    url = ""https://www.aclweb.org/anthology/2018.jeptalnrecital-long.3"",
    pages = ""33--46"",
    language = ""French"",
}
","Pierrejean, B{\'e}n{\'e}dicte  and
      Tanguy, Ludovic",Etude de la reproductibilit{\'e} des word embeddings : rep{\'e}rage des zones stables et instables dans le lexique (Reproducibility of word embeddings : identifying stable and unstable zones in the semantic space),"Actes de la Conf{\'e}rence TALN. Volume 1 - Articles longs, articles courts de TALN",2018,WS,Distributional semantic models trained using neural networks techniques yield different modelseven when using the same parameters. We describe a series of experiments where we examine theinstability of word embeddings both from a global and local perspective for several models trainedwith the same parameters. We measured the global variation for models trained on three differentcorpora. This variation is estimated to about 17% for the 25 nearest neighbours of a target word. Wealso identified and described local zones of stability and instability in the semantic space.,"1. one sentence summary of what paper is about
[text]
2. paper's central goal/question/hypothesis
[text]
3. methodology
[text]
4. reported results
[text]
5. paper's conclusions and/or main contributions
[text]
",,,,,,
"@inproceedings{van-miltenburg-etal-2019-task,
    title = ""On task effects in {NLG} corpus elicitation: a replication study using mixed effects modeling"",
    author = ""van Miltenburg, Emiel  and
      van de Kerkhof, Merel  and
      Koolen, Ruud  and
      Goudbeek, Martijn  and
      Krahmer, Emiel"",
    booktitle = ""Proceedings of the 12th International Conference on Natural Language Generation"",
    month = oct # ""{--}"" # nov,
    year = ""2019"",
    address = ""Tokyo, Japan"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/W19-8649"",
    doi = ""10.18653/v1/W19-8649"",
    pages = ""403--408"",
}
","van Miltenburg, Emiel  and
      van de Kerkhof, Merel  and
      Koolen, Ruud  and
      Goudbeek, Martijn  and
      Krahmer, Emiel",On task effects in {NLG} corpus elicitation: a replication study using mixed effects modeling,Proceedings of the 12th International Conference on Natural Language Generation,2019,INLG,"Task effects in NLG corpus elicitation recentlystarted to receive more attention, but are usu-ally  not  modeled  statistically.   We  present  acontrolled replication of the study by Van Mil-tenburg et al. (2018b), contrasting spoken withwritten descriptions.   We collected additionalwritten Dutch descriptions to supplement thespoken data from the DIDEC corpus, and an-alyzed  the  descriptions  using  mixed  effectsmodeling to account for variation between par-ticipants and items.  Our results show that theeffects of modality largely disappear in a con-trolled setting","1. one sentence summary of what paper is about
Presents a controlled replication of the conclusion of Van Miltenburg et al. (2018b) which study modality effect in the elicitation of the NLG corpus data - spoken vs written descriptions.  
2. paper's central goal/question/hypothesis
Provide a controlled comparison between spoken and written image descriptions to isolate the effect of modality on the generated descriptions
3. methodology
Collected additional written Dutch descriptions to supplement the spoken data from the DIDEC corpus, and analyzed the descriptions using mixed effects modeling. Same images were used however a different sample from population was used to collect data.
4. reported results
Results are not compared for the values but instead on the findings and the conclusions. Statistics and p-values are reported for the difference spoken and written descriptions 
5. paper's conclusions and/or main contributions
Effects of modality largely disappear in a controlled setting - modality alone has a minimal effect on the content of the descriptions 
",,- Not exactly aiming for reproducibility but to measure the impact of controlled data collection on the replication study ,- Not exactly aiming for reproducibility but to measure the impact of controlled data collection on the replication study ,,,
"@inproceedings{fortuna-etal-2019-stop,
    title = ""Stop {P}ropag{H}ate at {S}em{E}val-2019 Tasks 5 and 6: Are abusive language classification results reproducible?"",
    author = ""Fortuna, Paula  and
      Soler-Company, Juan  and
      Nunes, S{\'e}rgio"",
    booktitle = ""Proceedings of the 13th International Workshop on Semantic Evaluation"",
    month = jun,
    year = ""2019"",
    address = ""Minneapolis, Minnesota, USA"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/S19-2131"",
    doi = ""10.18653/v1/S19-2131"",
    pages = ""745--752"",
}
","Fortuna, Paula  and
      Soler-Company, Juan  and
      Nunes, S{\'e}rgio",Stop {P}ropag{H}ate at {S}em{E}val-2019 Tasks 5 and 6: Are abusive language classification results reproducible?,Proceedings of the 13th International Workshop on Semantic Evaluation,2019,WS,"This paper summarizes the participation of Stop PropagHate team at SemEval 2019. Our approach is based on replicating one of the most relevant works on the literature, using word embeddings and LSTM. After circumventing some of the problems of the original code, we found poor results when applying it to the HatEval contest (F1=0.45). We think this is due mainly to inconsistencies in the data of this contest. Finally, for the OffensEval the classifier performed well (F1=0.74), proving to have a better performance for offense detection than for hate speech.","1. one sentence summary of what paper is about
paper describes authors' participation in HatEval and OffensEval 2019, but also their difficulties in recreating the high-performing and highly-cited work by Badjitya et al. (2017)
2. paper's central goal/question/hypothesis
Can Badjitya et al. (2017) be recreated and run with success at the two shared tasks?
3. methodology
Using code and related info provided by original authors, same data etc., recreate system; then test variations of it on shared tasks.
4. reported results
System could not be recreated because of missing information and serious bug detected in cross-validation where runs 2-10 started from system as learnt in preceding run rather than learning from scratch. A reimplemented, improved version did well at OffensEval, but badly at HatEval.
5. paper's conclusions and/or main contributions
full code sharing is only way to achieve reproducibility; results in Badjitya et al. are not reliable; similar, corrected system did well at one shared task, less well at the other which may be connected to inconsistencies between training and test data in the latter
","* this is quite an adversarial reproduction attempt
* they cite Lee et al (2018) as also having tried and failed to reproduce the Badjitya et al work but that paper doesn't mention such an attempt
* still, the rest of it seems robust and rigorous enough",marginal,,,,
